Country,0,0,1
Ethiopia,5,2008,PR
Ethiopia,5,2008,CL
Ethiopia,PF,2008,Status
Ethiopia,5,2009,PR
Ethiopia,5,2009,CL
Ethiopia,PF,2009,Status
Ethiopia,6,2010,PR
Ethiopia,6,2010,CL
Ethiopia,NF,2010,Status
Ethiopia,6,2011,PR
Ethiopia,6,2011,CL
Ethiopia,NF,2011,Status
Ethiopia,6,2012,PR
Ethiopia,6,2012,CL
Ethiopia,NF,2012,Status
Ethiopia,6,2013,PR
Ethiopia,6,2013,CL
Ethiopia,NF,2013,Status
Ethiopia,6,2014,PR
Ethiopia,6,2014,CL
Ethiopia,NF,2014,Status
Gabon,5,2000,PR
Gabon,4,2000,CL
Gabon,PF,2000,Status
Gabon,5,2001,PR
Gabon,4,2001,CL
Gabon,PF,2001,Status
Gabon,5,2002,PR
Gabon,4,2002,CL
Gabon,PF,2002,Status
Gabon,5,2003,PR
Gabon,4,2003,CL
Gabon,PF,2003,Status
Gabon,5,2004,PR
Gabon,4,2004,CL
Gabon,PF,2004,Status
Gabon,6,2005,PR
Gabon,4,2005,CL
Gabon,PF,2005,Status
Gabon,6,2006,PR
Gabon,4,2006,CL
Gabon,PF,2006,Status
Gabon,6,2007,PR
Gabon,4,2007,CL
Gabon,PF,2007,Status
Gabon,6,2008,PR
Gabon,4,2008,CL
Gabon,PF,2008,Status
Gabon,6,2009,PR
Gabon,5,2009,CL
Gabon,NF,2009,Status
Gabon,6,2010,PR
Gabon,5,2010,CL
Gabon,NF,2010,Status
Gabon,6,2011,PR
Gabon,5,2011,CL
Gabon,NF,2011,Status
Gabon,6,2012,PR
